Episode,Reward,Frames,Epsilon
386, 5,808607,0.01
387, -6,810663,0.01
388,-19,812719,0.01
389, 10,814775,0.01
390, 6,816831,0.01
391, -3,818887,0.01
392, 3,820943,0.01
393, 6,822999,0.01
394, 20,825055,0.01
395, 15,827111,0.01
396, 16,829167,0.01
397, 12,831223,0.01
398,11,833279,0.01
399,8,835335,0.01
400,9,837391,0.01
401,15,839447,0.01
402,15,841503,0.01
403,21,843559,0.01
404,21,845615,0.01
405,15,847671,0.01
406,15,849727,0.01
407,20,851783,0.01
408,21,853839,0.01
409,21,855895,0.01
410,21,857951,0.01
411,17,860007,0.01
412,15,862063,0.01
413,20,864119,0.01
414,21,866175,0.01
415,18,868231,0.01
416,15,870287,0.01
417,15,872343,0.01
418,21,874399,0.01
419,21,876455,0.01
420,16,878511,0.01
421,21,880567,0.01
422,15,882623,0.01
423,15,884679,0.01
424,15,886735,0.01
425,15,888791,0.01
426,20,890847,0.01
427,20,892903,0.01
428,19,894959,0.01
429,21,897015,0.01
430,18,899071,0.01
431,21,901127,0.01
432,15,903183,0.01
433,15,905239,0.01
434,15,907295,0.01
435,15,909351,0.01
436,15,911407,0.01
437,21,913463,0.01
438,16,915519,0.01
439,21,917575,0.01
440,21,919631,0.01
441,19,921687,0.01
442,21,923743,0.01
443,18,925799,0.01
444,15,927855,0.01
445,15,929911,0.01
446,15,931967,0.01
447,17,934023,0.01
448,16,936079,0.01
449,21,938135,0.01
450,15,940191,0.01
451,15,942247,0.01

452,8,944303,0.01
453,-5,946359,0.01
454,-1,972721,0.01
455,2,975151,0.01
456,-5,977343,0.01
457,10,979673,0.01
458,10,981911,0.01
459,9,984207,0.01
460,12,986392,0.01
461,8,988697,0.01
462,-1,991274,0.01
463,1,994106,0.01
464,4,996780,0.01
465,-1,999664,0.01
466,12,1001804,0.01
467,15,1003809,0.01
468,-1,1006392,0.01
469,8,1008909,0.01
470,8,1011245,0.01
471,10,1013452,0.01
472,10,1015730,0.01
473,15,1017768,0.01
474,15,1019760,0.01
475,13,1022027,0.01
476,10,1024392,0.01
477,13,1026563,0.01
478,10,1028712,0.01
479,-1,1031212,0.01
480,14,1033286,0.01
481,19,1035008,0.01
482,15,1036869,0.01
