Checkpoint guardado en episodio 0
Episodio: 181, Recompensa: 15.0, Epsilon: 0.01, Frames: 373067
Episodio: 182, Recompensa: 13.0, Epsilon: 0.01, Frames: 375495
Episodio: 183, Recompensa: 19.0, Epsilon: 0.01, Frames: 377260
Episodio: 184, Recompensa: 14.0, Epsilon: 0.01, Frames: 379370
Episodio: 185, Recompensa: 19.0, Epsilon: 0.01, Frames: 381241
Episodio: 186, Recompensa: 7.0, Epsilon: 0.01, Frames: 383651
Episodio: 187, Recompensa: 13.0, Epsilon: 0.01, Frames: 385955
Episodio: 188, Recompensa: 5.0, Epsilon: 0.01, Frames: 388574
Episodio: 189, Recompensa: 20.0, Epsilon: 0.01, Frames: 390287
Episodio: 190, Recompensa: 12.0, Epsilon: 0.01, Frames: 392606
Checkpoint guardado en episodio 190
Episodio: 191, Recompensa: 17.0, Epsilon: 0.01, Frames: 394579
Episodio: 192, Recompensa: 17.0, Epsilon: 0.01, Frames: 396512
Episodio: 193, Recompensa: 13.0, Epsilon: 0.01, Frames: 398804
Episodio: 194, Recompensa: 16.0, Epsilon: 0.01, Frames: 400821
Episodio: 195, Recompensa: 17.0, Epsilon: 0.01, Frames: 402805
Episodio: 196, Recompensa: 20.0, Epsilon: 0.01, Frames: 404548
Episodio: 197, Recompensa: -1.0, Epsilon: 0.01, Frames: 406984
Episodio: 198, Recompensa: 8.0, Epsilon: 0.01, Frames: 409663
Episodio: 199, Recompensa: 8.0, Epsilon: 0.01, Frames: 412164
Episodio: 200, Recompensa: 12.0, Epsilon: 0.01, Frames: 414368
Checkpoint guardado en episodio 200
Episodio: 201, Recompensa: 17.0, Epsilon: 0.01, Frames: 416351
Episodio: 202, Recompensa: 13.0, Epsilon: 0.01, Frames: 418375
Episodio: 203, Recompensa: 6.0, Epsilon: 0.01, Frames: 420620
Episodio: 204, Recompensa: 17.0, Epsilon: 0.01, Frames: 422591
Episodio: 205, Recompensa: 20.0, Epsilon: 0.01, Frames: 424258
Episodio: 206, Recompensa: 20.0, Epsilon: 0.01, Frames: 426004
Episodio: 207, Recompensa: 7.0, Epsilon: 0.01, Frames: 428344
Episodio: 208, Recompensa: 19.0, Epsilon: 0.01, Frames: 430069
Episodio: 209, Recompensa: -1.0, Epsilon: 0.01, Frames: 433138
Episodio: 210, Recompensa: 11.0, Epsilon: 0.01, Frames: 435415
Checkpoint guardado en episodio 210
Episodio: 211, Recompensa: 10.0, Epsilon: 0.01, Frames: 437693
Episodio: 212, Recompensa: 17.0, Epsilon: 0.01, Frames: 439575
Episodio: 213, Recompensa: 13.0, Epsilon: 0.01, Frames: 441630
Episodio: 214, Recompensa: 18.0, Epsilon: 0.01, Frames: 443518
Episodio: 215, Recompensa: 3.0, Epsilon: 0.01, Frames: 446058
Episodio: 216, Recompensa: 4.0, Epsilon: 0.01, Frames: 448655
Episodio: 217, Recompensa: 13.0, Epsilon: 0.01, Frames: 450954
Episodio: 218, Recompensa: -1.0, Epsilon: 0.01, Frames: 453661
Episodio: 219, Recompensa: 12.0, Epsilon: 0.01, Frames: 455914
Episodio: 220, Recompensa: 13.0, Epsilon: 0.01, Frames: 458131
Checkpoint guardado en episodio 220
Episodio: 221, Recompensa: 18.0, Epsilon: 0.01, Frames: 459884
Episodio: 222, Recompensa: 19.0, Epsilon: 0.01, Frames: 461684
Episodio: 223, Recompensa: 12.0, Epsilon: 0.01, Frames: 463916
Episodio: 224, Recompensa: -11.0, Epsilon: 0.01, Frames: 466253
Episodio: 225, Recompensa: 11.0, Epsilon: 0.01, Frames: 468383
Episodio: 226, Recompensa: 6.0, Epsilon: 0.01, Frames: 471157
Episodio: 227, Recompensa: 1.0, Epsilon: 0.01, Frames: 474174
Episodio: 228, Recompensa: 11.0, Epsilon: 0.01, Frames: 476457
Episodio: 229, Recompensa: 14.0, Epsilon: 0.01, Frames: 478510
Episodio: 230, Recompensa: 18.0, Epsilon: 0.01, Frames: 480316
Checkpoint guardado en episodio 230
Episodio: 231, Recompensa: 20.0, Epsilon: 0.01, Frames: 481974
Episodio: 232, Recompensa: 20.0, Epsilon: 0.01, Frames: 483636
Episodio: 233, Recompensa: 10.0, Epsilon: 0.01, Frames: 485966
Episodio: 234, Recompensa: 6.0, Epsilon: 0.01, Frames: 488601
Episodio: 235, Recompensa: 12.0, Epsilon: 0.01, Frames: 490848
Episodio: 236, Recompensa: 11.0, Epsilon: 0.01, Frames: 493116
Episodio: 237, Recompensa: 15.0, Epsilon: 0.01, Frames: 495166
Episodio: 238, Recompensa: 14.0, Epsilon: 0.01, Frames: 497300
Episodio: 239, Recompensa: 8.0, Epsilon: 0.01, Frames: 499607
Episodio: 240, Recompensa: 13.0, Epsilon: 0.01, Frames: 501813
Checkpoint guardado en episodio 240
Episodio: 241, Recompensa: 13.0, Epsilon: 0.01, Frames: 504074
Episodio: 242, Recompensa: 19.0, Epsilon: 0.01, Frames: 505832
Episodio: 243, Recompensa: 19.0, Epsilon: 0.01, Frames: 507675
Episodio: 244, Recompensa: 12.0, Epsilon: 0.01, Frames: 509766
Episodio: 245, Recompensa: 20.0, Epsilon: 0.01, Frames: 511432
Episodio: 246, Recompensa: 17.0, Epsilon: 0.01, Frames: 513362
Episodio: 247, Recompensa: -1.0, Epsilon: 0.01, Frames: 515870
Episodio: 248, Recompensa: 12.0, Epsilon: 0.01, Frames: 518100
Episodio: 249, Recompensa: 18.0, Epsilon: 0.01, Frames: 520004
Episodio: 250, Recompensa: 18.0, Epsilon: 0.01, Frames: 521844
Checkpoint guardado en episodio 250
Episodio: 251, Recompensa: 12.0, Epsilon: 0.01, Frames: 523964
Episodio: 252, Recompensa: 8.0, Epsilon: 0.01, Frames: 526470
Episodio: 253, Recompensa: 19.0, Epsilon: 0.01, Frames: 528220
Episodio: 254, Recompensa: -1.0, Epsilon: 0.01, Frames: 530849
Episodio: 255, Recompensa: 14.0, Epsilon: 0.01, Frames: 532803
Episodio: 256, Recompensa: 17.0, Epsilon: 0.01, Frames: 534632
Episodio: 257, Recompensa: 19.0, Epsilon: 0.01, Frames: 536383
Episodio: 258, Recompensa: 1.0, Epsilon: 0.01, Frames: 538954
Episodio: 259, Recompensa: 7.0, Epsilon: 0.01, Frames: 541453
Episodio: 260, Recompensa: 19.0, Epsilon: 0.01, Frames: 543239
Checkpoint guardado en episodio 260
Episodio: 261, Recompensa: 10.0, Epsilon: 0.01, Frames: 545746
Episodio: 262, Recompensa: 16.0, Epsilon: 0.01, Frames: 547735
Episodio: 263, Recompensa: 15.0, Epsilon: 0.01, Frames: 549751
Episodio: 264, Recompensa: 20.0, Epsilon: 0.01, Frames: 551418
Episodio: 265, Recompensa: 8.0, Epsilon: 0.01, Frames: 553877
Episodio: 266, Recompensa: 19.0, Epsilon: 0.01, Frames: 555609
Episodio: 267, Recompensa: 11.0, Epsilon: 0.01, Frames: 557744
Episodio: 268, Recompensa: 20.0, Epsilon: 0.01, Frames: 559407
Episodio: 269, Recompensa: 13.0, Epsilon: 0.01, Frames: 561538
Episodio: 270, Recompensa: 19.0, Epsilon: 0.01, Frames: 563263
Checkpoint guardado en episodio 270
Episodio: 271, Recompensa: 18.0, Epsilon: 0.01, Frames: 565125
Episodio: 272, Recompensa: -4.0, Epsilon: 0.01, Frames: 567730
Episodio: 273, Recompensa: -1.0, Epsilon: 0.01, Frames: 570520
Episodio: 274, Recompensa: 4.0, Epsilon: 0.01, Frames: 573384
Episodio: 275, Recompensa: 2.0, Epsilon: 0.01, Frames: 576055
Episodio: 276, Recompensa: -1.0, Epsilon: 0.01, Frames: 578476
Episodio: 277, Recompensa: 20.0, Epsilon: 0.01, Frames: 580144
Episodio: 278, Recompensa: -1.0, Epsilon: 0.01, Frames: 583013
Episodio: 279, Recompensa: -1.0, Epsilon: 0.01, Frames: 585821
Episodio: 280, Recompensa: 18.0, Epsilon: 0.01, Frames: 587597
Checkpoint guardado en episodio 280
Episodio: 281, Recompensa: -1.0, Epsilon: 0.01, Frames: 590335
Episodio: 282, Recompensa: -1.0, Epsilon: 0.01, Frames: 593099
Episodio: 283, Recompensa: 12.0, Epsilon: 0.01, Frames: 595290
Episodio: 284, Recompensa: 5.0, Epsilon: 0.01, Frames: 597853
Episodio: 285, Recompensa: 4.0, Epsilon: 0.01, Frames: 600409
Episodio: 286, Recompensa: 9.0, Epsilon: 0.01, Frames: 602805
Episodio: 287, Recompensa: 17.0, Epsilon: 0.01, Frames: 604637
Episodio: 288, Recompensa: 13.0, Epsilon: 0.01, Frames: 606813
Episodio: 289, Recompensa: -1.0, Epsilon: 0.01, Frames: 609384
Episodio: 290, Recompensa: 20.0, Epsilon: 0.01, Frames: 611053
Checkpoint guardado en episodio 290
Episodio: 291, Recompensa: 17.0, Epsilon: 0.01, Frames: 613057
Episodio: 292, Recompensa: -1.0, Epsilon: 0.01, Frames: 615713
Episodio: 293, Recompensa: 18.0, Epsilon: 0.01, Frames: 617497
Episodio: 294, Recompensa: 14.0, Epsilon: 0.01, Frames: 619634
Episodio: 295, Recompensa: 8.0, Epsilon: 0.01, Frames: 621888
Episodio: 296, Recompensa: -7.0, Epsilon: 0.01, Frames: 624134
Episodio: 297, Recompensa: -1.0, Epsilon: 0.01, Frames: 626818
Episodio: 298, Recompensa: -20.0, Epsilon: 0.01, Frames: 627779
Episodio: 299, Recompensa: 11.0, Epsilon: 0.01, Frames: 630070
Episodio: 300, Recompensa: 3.0, Epsilon: 0.01, Frames: 632633
Checkpoint guardado en episodio 300
Episodio: 301, Recompensa: 20.0, Epsilon: 0.01, Frames: 634479
Episodio: 302, Recompensa: 16.0, Epsilon: 0.01, Frames: 636503
Episodio: 303, Recompensa: 2.0, Epsilon: 0.01, Frames: 639232
Episodio: 304, Recompensa: -4.0, Epsilon: 0.01, Frames: 641744
Episodio: 305, Recompensa: -1.0, Epsilon: 0.01, Frames: 644690
Episodio: 306, Recompensa: 9.0, Epsilon: 0.01, Frames: 647026
Episodio: 307, Recompensa: 11.0, Epsilon: 0.01, Frames: 649186
Episodio: 308, Recompensa: -3.0, Epsilon: 0.01, Frames: 651755
Episodio: 309, Recompensa: 4.0, Epsilon: 0.01, Frames: 654447
